data: {name: chararray,ID: int,buy1: float,buy2: float,buy3: float,buy4: float,buy5: float,buy6: float,buy7: float,buy8: float,buy9: float,buy10: float,text1: chararray,text2: chararray,text3: chararray,text4: chararray,text5: chararray}
********************************************** data  ***********************************
data1: {name: chararray,ID: int,S: long,L: chararray,C: chararray}
********************************************** data1  ***********************************
data2: {name: chararray,ID: int,S: long,L: chararray,C1: chararray,C2: chararray}
(QOQL10,4999110,129,nyxyo fyvd xisbt sqgq,UOSLN DYCX B the AYAW EMAZNYXYO FYVD XISBT SQGQTYRVN VZTM N  HOMJ PFQJTPXAV BCUZ AUIBO NDGGBAINM BEHH  BCYLK PU the Y  N,UOSLN DYCX B  AYAW EMAZNYXYO FYVD XISBT SQGQTYRVN VZTM N and HOMJ PFQJTPXAV BCUZ AUIBO NDGGBAINM BEHH and BCYLK PU  Y and N)
(PCRIF11,1980011,114,ueyzp dfik ozybt hnun,WHLZV DBPW JETAU AQXWUEYZP DFIK OZYBT HNUNHFFBS KBRW USCZK YBSGDGBIK AEKE RCPWS GIJYCHYMM DVYX the WJLLE KA  OL,WHLZV DBPW JETAU AQXWUEYZP DFIK OZYBT HNUNHFFBS KBRW USCZK YBSGDGBIK AEKE RCPWS GIJYCHYMM DVYX  WJLLE KA and OL)
(IVPF12,3663812,137,pvojs uiqq vavxa gzgg,ZQHEC SIEM the QWCDJ AD the OEPVOJS UIQQ VAVXA GZGGHSTEK TPSU  OKWVQ OZ  MOLINSO ZLEW GFQAW VOQKFQLVO JOKV  ETMQL MH the S  V,ZQHEC SIEM  QWCDJ AD  OEPVOJS UIQQ VAVXA GZGGHSTEK TPSU and OKWVQ OZ and MOLINSO ZLEW GFQAW VOQKFQLVO JOKV and ETMQL MH  S and V)
(DLCUS13,4747313,125,ekyal gkqc xhhdy pzyr,LPBTF OJCO O the PTRV XMHCEKYAL GKQC XHHDY PZYRUHLAJ TONX B   SBWH NDZXEFSXD EOFR TYUPS UOFHNLPCS GGBC the HYMJL NB  QJ,LPBTF OJCO O  PTRV XMHCEKYAL GKQC XHHDY PZYRUHLAJ TONX B and  SBWH NDZXEFSXD EOFR TYUPS UOFHNLPCS GGBC  HYMJL NB and QJ)
(ETZB14,6646314,119,mflsv wboc nijxo clqn,YOARW GABY JQWDA HLDWMFLSV WBOC NIJXO CLQNPGFZA PHOC BZIHB DUNXYJUTD VEIG XYHED MMHFWIZKO HJYY  HAUUN JB the H  K,YOARW GABY JQWDA HLDWMFLSV WBOC NIJXO CLQNPGFZA PHOC BZIHB DUNXYJUTD VEIG XYHED MMHFWIZKO HJYY and HAUUN JB  H and K)
(MKJUK15,3512315,125,ujyvo gytk vfuyq ubup,WFYQL ZEAB BXQMX OT the EVUJYVO GYTK VFUYQ UBUPIVNEB TOCC LVKEV EZ   VAKDJBC PBVI CWIAE CYNISTMSM JDSA the ZWQJV CY  GQ,WFYQL ZEAB BXQMX OT  EVUJYVO GYTK VFUYQ UBUPIVNEB TOCC LVKEV EZ and  VAKDJBC PBVI CWIAE CYNISTMSM JDSA  ZWQJV CY and GQ)
(NDTQ16,6310416,129,tiwua aglk izmxb chkg,QZKZI UQMZ P the UXDP HVODTIWUA AGLK IZMXB CHKGKLETN KIFM X  PCAS ZTFHLUZJV WLQI BTAZH DZBMKZIQH TBVQ  UKLQJ EO the I  A,QZKZI UQMZ P  UXDP HVODTIWUA AGLK IZMXB CHKGKLETN KIFM X and PCAS ZTFHLUZJV WLQI BTAZH DZBMKZIQH TBVQ and UKLQJ EO  I and A)
(ZEAXH17,1476817,114,psusx zyve lilty hrwn,RNGQJ SZPB RGJFI NXRCPSUSX ZYVE LILTY HRWNRZMIP DIHJ DPRAI UOFLJTRAP SAGH MBXXZ YUHBOJEJE YWBD the NCQAJ WT  SI,RNGQJ SZPB RGJFI NXRCPSUSX ZYVE LILTY HRWNRZMIP DIHJ DPRAI UOFLJTRAP SAGH MBXXZ YUHBOJEJE YWBD  NCQAJ WT and SI)
(SMXF18,8619018,137,xvqsr gaag mksbi ajph,JWXMZ ETGP the GXPVJ KU the PHXVQSR GAAG MKSBI AJPHUCMQW SKSV  HHSEL DX  PYEBDSC BKUT QUXZI NAJEMOWSQ IMXI  HQIES FB the L  X,JWXMZ ETGP  GXPVJ KU  PHXVQSR GAAG MKSBI AJPHUCMQW SKSV and HHSEL DX and PYEBDSC BKUT QUXZI NAJEMOWSQ IMXI and HQIES FB  L and X)
(WBJBF19,1088419,125,mdkax ztgm vdzvz pmcf,UVKLT KZRO I the QCQX JXAPMDKAX ZTGM VDZVZ PMCFPAEDT SHVS B   KQQZ HFPOEIXOQ YGUU XXSXG XCMFBOELU RNOO the AJVRH BQ  DR,UVKLT KZRO I  QCQX JXAPMDKAX ZTGM VDZVZ PMCFPAEDT SHVS B and  KQQZ HFPOEIXOQ YGUU XXSXG XCMFBOELU RNOO  AJVRH BQ and DR)
(LQVT20,4189120,119,tcxtw yvby cvooi yhxk,SQAZU RCRN SUVJJ ZFOJTCXTW YVBY CVOOI YHXKWJGYB IOQM TOIKG OWOMDHEDE EZSL YMGOD CBVSHNUBM CDMI  TKSPU MI the P  S,SQAZU RCRN SUVJJ ZFOJTCXTW YVBY CVOOI YHXKWJGYB IOQM TOIKG OWOMDHEDE EZSL YMGOD CBVSHNUBM CDMI and TKSPU MI  P and S)
(LZGRZ21,7012021,125,woldc agff nmlew osel,OKRYT MSRA FLJAP YO the FCWOLDC AGFF NMLEW OSELIJRXN RDBP DVMWV EB   ISVFTQN VYEU EVEKH GMTTKCBEC PNWF the VXZYP EM  TM,OKRYT MSRA FLJAP YO  FCWOLDC AGFF NMLEW OSELIJRXN RDBP DVMWV EB and  ISVFTQN VYEU EVEKH GMTTKCBEC PNWF  VXZYP EM and TM)
(KJZY22,5603322,129,ndtrg pnfj kdhvu fyyr,BBEZL QTXC Y the GRJU FQJMNDTRG PNFJ KDHVU FYYRAKYZR QMVV A  QFNM HHOMWNTZD JKYG QLDHV WZENOIFTS YNYR  MVWQG FZ the J  G,BBEZL QTXC Y  GRJU FQJMNDTRG PNFJ KDHVU FYYRAKYZR QMVV A and QFNM HHOMWNTZD JKYG QLDHV WZENOIFTS YNYR and MVWQG FZ  J and G)
(GSQOF23,6995123,114,rewpo tczf qnzff opyc,WQGDM UNMG ZRCKP NEPDREWPO TCZF QNZFF OPYCVUICY GGBC SMWYK FJEHOKUQT YMWG HFZJW HGBTLNYWU FUPC the CAFIP US  LR,WQGDM UNMG ZRCKP NEPDREWPO TCZF QNZFF OPYCVUICY GGBC SMWYK FJEHOKUQT YMWG HFZJW HGBTLNYWU FUPC  CAFIP US and LR)
(MLET24,2328224,137,ozuuo jszg leoyp nkuh,EKWKM SOJM the QFOJU CA the JNOZUUO JSZG LEOYP NKUHSIRYJ WZQW  FAJUA IG  BXVXTTU QCEK LENZR CFMWFOYUY AAMN  VTTTP LR the P  Q,EKWKM SOJM  QFOJU CA  JNOZUUO JSZG LEOYP NKUHSIRYJ WZQW and FAJUA IG and BXVXTTU QCEK LENZR CFMWFOYUY AAMN and VTTTP LR  P and Q)
(JZFIT25,4905025,125,sgbcm pxav glpoi cptg,ABROK QJJY G the VZTO CJPHSGBCM PXAV GLPOI CPTGULKYV IULC O   NYGH MNMEGUESH QMGA RZZNL MLLNQGHGX NOIW the OQFGL BM  HL,ABROK QJJY G  VZTO CJPHSGBCM PXAV GLPOI CPTGULKYV IULC O and  NYGH MNMEGUESH QMGA RZZNL MLLNQGHGX NOIW  OQFGL BM and HL)
(EDVQ26,4722426,119,lmmtf osjb vjvnj ytpi,MISWC IYQJ MZCBO OXONLMMTF OSJB VJVNJ YTPIVGCQB CJFO NCVVZ IQWWHIETF ASWY JREGN SRWDCGZWZ HZMQ  CHNMO UI the L  V,MISWC IYQJ MZCBO OXONLMMTF OSJB VJVNJ YTPIVGCQB CJFO NCVVZ IQWWHIETF ASWY JREGN SRWDCGZWZ HZMQ and CHNMO UI  L and V)
(OLRPZ27,6728227,125,orzmb zzla dqcku glkl,WVQQS CXOX SRCFH KH the JIORZMB ZZLA DQCKU GLKLOTNZY SJPN BFLVI YF   ZBBQMLP OTVV KXDDW UBSHGSTPA YCUV the SDXRX FL  EJ,WVQQS CXOX SRCFH KH  JIORZMB ZZLA DQCKU GLKLOTNZY SJPN BFLVI YF and  ZBBQMLP OTVV KXDDW UBSHGSTPA YCUV  SDXRX FL and EJ)
(OERH28,5897028,129,acxgx kuyz blrga pvqv,FFCOI PPLO O the JKAC VATBACXGX KUYZ BLRGA PVQVSURHW IOQF N  NDCO NLXAIVETB KDPY TZPDP RHEOEKXNS NOMV  COCMV ON the U  P,FFCOI PPLO O  JKAC VATBACXGX KUYZ BLRGA PVQVSURHW IOQF N and NDCO NLXAIVETB KDPY TZPDP RHEOEKXNS NOMV and COCMV ON  U and P)
(MKSYI29,8969729,114,jpdvk dvzb qzvjs ddkd,OCLJG XTAK ORJQQ IPMWJPDVK DVZB QZVJS DDKDVDQHL WEEJ ADQKR QQWNSJSWR IWQP IDOOG KVTHYMXGH BRQA the URKPZ GP  GU,OCLJG XTAK ORJQQ IPMWJPDVK DVZB QZVJS DDKDVDQHL WEEJ ADQKR QQWNSJSWR IWQP IDOOG KVTHYMXGH BRQA  URKPZ GP and GU)
(VKUZ30,8946230,137,jfjxx eoao wvhzv svzl,MHBLX YXCE the XKDUX NB the QGJFJXX EOAO WVHZV SVZLNSGBP AKCR  TGCFA XR  ELYNSWR SSUC UWZOL GGGUHVFRC BDTK  GJHLM WD the Q  C,MHBLX YXCE  XKDUX NB  QGJFJXX EOAO WVHZV SVZLNSGBP AKCR and TGCFA XR and ELYNSWR SSUC UWZOL GGGUHVFRC BDTK and GJHLM WD  Q and C)
(FGFZV31,3531031,125,xmtur lmbk klecv viea,VSZZV QAFP M the ZRLR KGYJXMTUR LMBK KLECV VIEAUVBZZ LLQX G   EJSC BWZNRELFW WZNJ LZSJZ OLBJYLJIL JTUX the SYNUC ZR  OU,VSZZV QAFP M  ZRLR KGYJXMTUR LMBK KLECV VIEAUVBZZ LLQX G and  EJSC BWZNRELFW WZNJ LZSJZ OLBJYLJIL JTUX  SYNUC ZR and OU)
(AZDE32,4119932,119,nempp fhux nmyqg pczg,NERBT FQAQ ZEJHZ AZUINEMPP FHUX NMYQG PCZGSJILD AYJL PEWLW OZCOSGLLC UXHX BKKOK GQYJLANWX OUEU  GRJOU RO the V  H,NERBT FQAQ ZEJHZ AZUINEMPP FHUX NMYQG PCZGSJILD AYJL PEWLW OZCOSGLLC UXHX BKKOK GQYJLANWX OUEU and GRJOU RO  V and H)
(OKXTO33,4957333,125,mwvkq geey kyosy iwdq,LNGMF UTRD OTTZB HC the BFMWVKQ GEEY KYOSY IWDQCODVV YMBV RJDKF LI   KZVVBMI QZWN KDPBQ LYDXLDBYH AQBB the YGYZE MU  QM,LNGMF UTRD OTTZB HC  BFMWVKQ GEEY KYOSY IWDQCODVV YMBV RJDKF LI and  KZVVBMI QZWN KDPBQ LYDXLDBYH AQBB  YGYZE MU and QM)
(YQRK34,6813334,129,wvgcn eaoz ygcbf vrwu,DLQSD FQON G the IVIQ EWMGWVGCN EAOZ YGCBF VRWUSYSYU SPIE Q  RGPM DRXWYZMSS SZRL IMILS OLOOOVXPC XEKQ  IPYVF GL the S  A,DLQSD FQON G  IVIQ EWMGWVGCN EAOZ YGCBF VRWUSYSYU SPIE Q and RGPM DRXWYZMSS SZRL IMILS OLOOOVXPC XEKQ and IPYVF GL  S and A)
(IQYZW35,4545035,114,hvsrg hgjq nchzc tcmh,CAXEF NRQG XDODC CALTHVSRG HGJQ NCHZC TCMHPWNZT YPXZ WBCJZ HGCNMOTDY PBOE IANXD LBBJFEKOV TRII the AWJBQ HM  LI,CAXEF NRQG XDODC CALTHVSRG HGJQ NCHZC TCMHPWNZT YPXZ WBCJZ HGCNMOTDY PBOE IANXD LBBJFEKOV TRII  AWJBQ HM and LI)
(ISBD36,6045936,137,ddzvg igwo ehfnp ozte,OGXXX COJW the WAHVQ MA the LODDZVG IGWO EHFNP OZTEOTGKI SDWK  RRECG LF  MJTZZJC BCBN ZBWZH VWGHYSOUR WUDR  BZYJX NV the G  R,OGXXX COJW  WAHVQ MA  LODDZVG IGWO EHFNP OZTEOTGKI SDWK and RRECG LF and MJTZZJC BCBN ZBWZH VWGHYSOUR WUDR and BZYJX NV  G and R)
(AJNZZ37,1050837,125,dqebn gqib ffglg psmd,VQKCB VWSA T the WYDY XEFODQEBN GQIB FFGLG PSMDLYHBI XMIB T   PXSS MVBDNGNRA IIOH OBWMW MFRCXFRHS FXQW the BRYFI UX  GE,VQKCB VWSA T  WYDY XEFODQEBN GQIB FFGLG PSMDLYHBI XMIB T and  PXSS MVBDNGNRA IIOH OBWMW MFRCXFRHS FXQW  BRYFI UX and GE)
(NEMO38,6121538,119,zwrym yyss ncvmy abnr,XAWFK TXMP YNTOD HLGLZWRYM YYSS NCVMY ABNREJBPM XBFC HOQYS DCCSVHATM ZWTG ASDRG FKKJCCDXG LPZW  QDMZM KJ the T  S,XAWFK TXMP YNTOD HLGLZWRYM YYSS NCVMY ABNREJBPM XBFC HOQYS DCCSVHATM ZWTG ASDRG FKKJCCDXG LPZW and QDMZM KJ  T and S)
(KDDHG39,2707439,125,btoxx kkfq vbebg zrws,WTGUB XDGM GWIIH PL the FHBTOXX KKFQ VBEBG ZRWSDRHCZ YDGL FHNRK NK   ZOVLLGZ USRH HHPBP TAICMLGJM UIFH the JCCEL UQ  OW,WTGUB XDGM GWIIH PL  FHBTOXX KKFQ VBEBG ZRWSDRHCZ YDGL FHNRK NK and  ZOVLLGZ USRH HHPBP TAICMLGJM UIFH  JCCEL UQ and OW)
(MFHT40,9193440,129,reeob zqvf sgtyp tdma,RUGVS JHTA L the EDKN SOGQREEOB ZQVF SGTYP TDMAIYUPW PVDL N  SZHK NXHMUMQGL RWRH GIIKZ IFYCUOBKD UTCB  CLBGT GX the G  K,RUGVS JHTA L  EDKN SOGQREEOB ZQVF SGTYP TDMAIYUPW PVDL N and SZHK NXHMUMQGL RWRH GIIKZ IFYCUOBKD UTCB and CLBGT GX  G and K)
