data: {name: chararray,ID: int,buy1: float,buy2: float,buy3: float,buy4: float,buy5: float,buy6: float,buy7: float,buy8: float,buy9: float,buy10: float,text1: chararray,text2: chararray,text3: chararray,text4hararray: bytearray,text5chararray: bytearray}
(LQVT20,4189120,7302.0,1722.0,2033.0,6662.0,1626.0,754.0,594.0,3562.0,9489.0,8823.0,SQAZU RCRN SUVJJ ZFOJ,TCXTW YVBY CVOOI YHXK,WJGYB IOQM TOIKG OWOM,DHEDE EZSL YMGOD CBVS,HNUBM CDMI and TKSPU MI the P and S)
(LZGRZ21,7012021,4689.0,2630.0,4291.0,5684.0,3373.0,2404.0,4905.0,5178.0,3780.0,7147.0,OKRYT MSRA FLJAP YO the FC,WOLDC AGFF NMLEW OSEL,IJRXN RDBP DVMWV EB and  IS,VFTQN VYEU EVEKH GMTT,KCBEC PNWF the VXZYP EM and TM)
(KJZY22,5603322,4985.0,2278.0,8041.0,2292.0,2103.0,3815.0,2293.0,9746.0,1063.0,8127.0,BBEZL QTXC Y the GRJU FQJM,NDTRG PNFJ KDHVU FYYR,AKYZR QMVV A and QFNM HHOM,WNTZD JKYG QLDHV WZEN,OIFTS YNYR and MVWQG FZ the J and G)
(GSQOF23,6995123,9905.0,8415.0,6351.0,3436.0,5681.0,2478.0,5448.0,9463.0,1219.0,1896.0,WQGDM UNMG ZRCKP NEPD,REWPO TCZF QNZFF OPYC,VUICY GGBC SMWYK FJEH,OKUQT YMWG HFZJW HGBT,LNYWU FUPC the CAFIP US and LR)
(MLET24,2328224,1811.0,6426.0,7426.0,9721.0,700.0,3674.0,8545.0,6177.0,1039.0,8520.0,EKWKM SOJM the QFOJU CA the JN,OZUUO JSZG LEOYP NKUH,SIRYJ WZQW and FAJUA IG and BX,VXTTU QCEK LENZR CFMW,FOYUY AAMN and VTTTP LR the P and Q)
(JZFIT25,4905025,2766.0,5257.0,6662.0,1596.0,8466.0,2743.0,2947.0,892.0,5903.0,2150.0,ABROK QJJY G the VZTO CJPH,SGBCM PXAV GLPOI CPTG,ULKYV IULC O and  NYGH MNME,GUESH QMGA RZZNL MLLN,QGHGX NOIW the OQFGL BM and HL)
(EDVQ26,4722426,702.0,7984.0,9152.0,8753.0,3383.0,9680.0,664.0,4739.0,7041.0,6000.0,MISWC IYQJ MZCBO OXON,LMMTF OSJB VJVNJ YTPI,VGCQB CJFO NCVVZ IQWW,HIETF ASWY JREGN SRWD,CGZWZ HZMQ and CHNMO UI the L and V)
(OLRPZ27,6728227,3643.0,54.0,8867.0,2849.0,9104.0,7038.0,8264.0,4336.0,3608.0,6614.0,WVQQS CXOX SRCFH KH the JI,ORZMB ZZLA DQCKU GLKL,OTNZY SJPN BFLVI YF and  ZB,BQMLP OTVV KXDDW UBSH,GSTPA YCUV the SDXRX FL and EJ)
(OERH28,5897028,8373.0,3211.0,1001.0,5989.0,4806.0,8580.0,1740.0,7344.0,4306.0,1218.0,FFCOI PPLO O the JKAC VATB,ACXGX KUYZ BLRGA PVQV,SURHW IOQF N and NDCO NLXA,IVETB KDPY TZPDP RHEO,EKXNS NOMV and COCMV ON the U and P)
(MKSYI29,8969729,2838.0,1251.0,9061.0,9098.0,2972.0,1205.0,2871.0,5401.0,6091.0,3134.0,OCLJG XTAK ORJQQ IPMW,JPDVK DVZB QZVJS DDKD,VDQHL WEEJ ADQKR QQWN,SJSWR IWQP IDOOG KVTH,YMXGH BRQA the URKPZ GP and GU)
(VKUZ30,8946230,8765.0,9047.0,3328.0,459.0,91.0,9760.0,7738.0,1999.0,3827.0,1839.0,MHBLX YXCE the XKDUX NB the QG,JFJXX EOAO WVHZV SVZL,NSGBP AKCR and TGCFA XR and EL,YNSWR SSUC UWZOL GGGU,HVFRC BDTK and GJHLM WD the Q and C)
(FGFZV31,3531031,7906.0,9647.0,9164.0,6149.0,9192.0,6741.0,1762.0,2061.0,7545.0,9376.0,VSZZV QAFP M the ZRLR KGYJ,XMTUR LMBK KLECV VIEA,UVBZZ LLQX G and  EJSC BWZN,RELFW WZNJ LZSJZ OLBJ,YLJIL JTUX the SYNUC ZR and OU)
(AZDE32,4119932,4134.0,7824.0,4632.0,6041.0,9239.0,9696.0,3074.0,281.0,6157.0,95.0,NERBT FQAQ ZEJHZ AZUI,NEMPP FHUX NMYQG PCZG,SJILD AYJL PEWLW OZCO,SGLLC UXHX BKKOK GQYJ,LANWX OUEU and GRJOU RO the V and H)
(OKXTO33,4957333,4382.0,3854.0,9977.0,8231.0,3733.0,9395.0,6302.0,7031.0,6423.0,4141.0,LNGMF UTRD OTTZB HC the BF,MWVKQ GEEY KYOSY IWDQ,CODVV YMBV RJDKF LI and  KZ,VVBMI QZWN KDPBQ LYDX,LDBYH AQBB the YGYZE MU and QM)
(YQRK34,6813334,1837.0,8491.0,963.0,9274.0,7531.0,7844.0,9899.0,5504.0,1695.0,1613.0,DLQSD FQON G the IVIQ EWMG,WVGCN EAOZ YGCBF VRWU,SYSYU SPIE Q and RGPM DRXW,YZMSS SZRL IMILS OLOO,OVXPC XEKQ and IPYVF GL the S and A)
(IQYZW35,4545035,5300.0,6696.0,7149.0,9320.0,6923.0,3348.0,2746.0,6840.0,5662.0,2097.0,CAXEF NRQG XDODC CALT,HVSRG HGJQ NCHZC TCMH,PWNZT YPXZ WBCJZ HGCN,MOTDY PBOE IANXD LBBJ,FEKOV TRII the AWJBQ HM and LI)
(ISBD36,6045936,2986.0,5195.0,3314.0,4344.0,26.0,8411.0,6993.0,528.0,9963.0,4666.0,OGXXX COJW the WAHVQ MA the LO,DDZVG IGWO EHFNP OZTE,OTGKI SDWK and RRECG LF and MJ,TZZJC BCBN ZBWZH VWGH,YSOUR WUDR and BZYJX NV the G and R)
(AJNZZ37,1050837,1348.0,4986.0,5989.0,9129.0,3920.0,852.0,3192.0,7467.0,2933.0,830.0,VQKCB VWSA T the WYDY XEFO,DQEBN GQIB FFGLG PSMD,LYHBI XMIB T and  PXSS MVBD,NGNRA IIOH OBWMW MFRC,XFRHS FXQW the BRYFI UX and GE)
(NEMO38,6121538,8330.0,9074.0,2445.0,6403.0,4724.0,4760.0,4202.0,1415.0,5848.0,5043.0,XAWFK TXMP YNTOD HLGL,ZWRYM YYSS NCVMY ABNR,EJBPM XBFC HOQYS DCCS,VHATM ZWTG ASDRG FKKJ,CCDXG LPZW and QDMZM KJ the T and S)
(KDDHG39,2707439,4305.0,6803.0,991.0,4983.0,9459.0,5144.0,5747.0,5102.0,2358.0,8825.0,WTGUB XDGM GWIIH PL the FH,BTOXX KKFQ VBEBG ZRWS,DRHCZ YDGL FHNRK NK and  ZO,VLLGZ USRH HHPBP TAIC,MLGJM UIFH the JCCEL UQ and OW)
(MFHT40,9193440,9022.0,1948.0,1330.0,4233.0,5348.0,1595.0,2670.0,5767.0,525.0,9965.0,RUGVS JHTA L the EDKN SOGQ,REEOB ZQVF SGTYP TDMA,IYUPW PVDL N and SZHK NXHM,UMQGL RWRH GIIKZ IFYC,UOBKD UTCB and CLBGT GX the G and K)
